"Brand","Model","Reviews","Language"
"Apple","iPhone 11 Pro Max","tuve dudas al comprarlo pero, una lo tuve en mis manos y lo utilice me di cuenta que estaba en perfecto estado.
full recomendado y agradecido con el vendedor por tener buena calidad en sus productos.
resaltar que el paquete solo demoro 5 días en llegar USA a Panamá.","es"
"Apple","iPhone 11 Pro Max","Yo lo compré para cambiar de teléfonos y para tener uno mejor","es"
"Apple","iPhone 11 Pro Max","El teléfono llegó completo y muy nítido. Volvería a comprar a BuySpry.. compre en otra tienda y no llego completo.. BuySpry lo mejor..","es"
"Apple","iPhone 11 Pro Max","El teléfono estéticamente está bien solo unos rasguños en la pantalla, el cargador no funcionó por eso es que le doy baja calificación pienso que por el precio pudo haber estado mejor","es"
"Apple","iPhone 11 Pro Max","Todas las funciones tal cual un equipo nuevo, la batería llegó con un 86% teniendo en b cuenta el tipo de equipo estás comprando aún le queda una vida útil de años !!! No me arrepiento de esta compra","es"
"Apple","iPhone 11 Pro Max","El teléfono llegó bien se ve algo bien ya se ve su uso excesivo con batería en un 89% creo ya muy usado para que valga más de 700$ pero funciona perfecto hoy lo active a la línea todo bien lo malo que no haga realidad la cuenta de la Apple store intente hacer una nueva con mi otro correo electrónico de igual forma no agarra el código de seguridad.. Si no puedo hacer la cuenta de la tienda de Apple tendré que regresarlo y espero que a si como toman el dinero a si sea de vuelto a mi cuenta Gracias 😡","es"
"Apple","iPhone 11 Pro Max","Estaba algo preocupada x q no sabía en q condiciones llegaría el iPhone 11 Pro Max, pero me siento muy feliz, llego en perfecta condiciones física y de funcionamiento, ni un solo rasguño, aparte llego dos días antes de lo programado, realmente me siento muy satisfecha con el producto y la oportunidad","es"
"Apple","iPhone 11 Pro Max","Excelente celular! Muy recomendable! No tiene daños ni rayas! Funciona todo correctamente y vino con 93% de batería! Excelente como nuevo!","es"
"Apple","iPhone 11 Pro Max","Todo OK pero la batería tiene 83% es muy poco para que lo vendan al precio que no compre","es"
"Apple","iPhone 11 Pro Max","Cuando me llegó el teléfono hace un mes tenía un 96% en la condición de la batería , ahora tengo 92%, no sé si es normal que haya disminuido tanto en ese lapso de tiempo. Algo que he notado es que no me llegan las notificaciones siempre, a veces si, a veces no.","es"
"Apple","iPhone 11 Pro Max","El equipo llegó en perfecto estado, cumplió con las expectativas","es"
"Apple","iPhone 11 Pro Max","Estoy muy contenta con mi compra!!!
Todo funciona correctamente, huellas dactilares, reconocimiento facial, la batería está como nueva, la cámara, el audio. Todo bien.
Muy recomendado.","es"
"Apple","iPhone 11 Pro Max","Reconocimiento facial excelente batería 80% almacenamiento 256 muy bien","es"
"Apple","iPhone 11 Pro Max","No es contra el agua","es"
"Apple","iPhone 11 Pro Max","Tenia un pequeño rayon en la camara trasera y residuos de pegamento a los lados. El cargador era tipo USB . Al momento funcionando bien.","es"
"Apple","iPhone 11 Pro Max","Todo está muy bien hasta ahorita nohe tenido ningún problema","es"
"Apple","iPhone 11 Pro Max","El iPhone esta perfecto, tiene pocos detalles pero para su precio yo creo que valió la pena, estoy muy contento","es"
"Apple","iPhone 11 Pro Max","Muy satisfecho por la compra, llegó en buen estado con una vida útil de batería de 92%, lo recomiendo","es"
"Apple","iPhone 11 Pro Max","Es una belleza, no me hice falsas expectativas porque es muy clara el estatus de renovado, en mi caso recibí la unidad con un pequeño raspón casi imperceptible en la pantalla y con 93% de capacidad de batería","es"
"Apple","iPhone 11 Pro Max","Excelente producto. Excelente el envio de amazon en 48 hs de EEUU a Bs AS.Saludos","es"
"Apple","iPhone 11 Pro Max","Que no salió bien","es"
"Apple","iPhone 11 Pro Max","Todo muy bien lo recomiendo","es"
"Apple","iPhone 11 Pro Max","el equipo se ve bien si inconveniente hasta el momento, solo que no era el color pedido pero esta aceptable","es"
"Apple","iPhone 11 Pro Max","Es el mejor celular de Apple, el iPhone 11 Pro max","es"
"Apple","iPhone 11 Pro Max","Excelente producto","es"
"Apple","iPhone 11 Pro Max","Excelente presentación, aspecto del equipo, pero la batería llego con solo el 89%","es"
"Apple","iPhone 11 Pro Max","Las cámaras muy claritas","es"
"Apple","iPhone 11 Pro Max","Vida útil de bateria 98%, estéticamente algunas rayas en las barras laterales y en la parte trasera del equipo lo demás en perfectas condiciones","es"
"Apple","iPhone 11 Pro Max","Se actualizo el teléfono pensando que de esa forma se solucionaba, socio igual. Se reviso los parámetros de teclado y siguió igual. El cristal posterior tenía mancha por debajo del mismo indicando qué tal vez se sumergió el dispositivo. Es una pena, no recomiendo a este vendedor.","es"
"Apple","iPhone 11 Pro Max","Todo excelente, funciona a la perfección","es"
"Apple","iPhone 11 Pro Max","Muy fácil de usar pero muy malos de la bocina del oído","es"
"Apple","iPhone 11 Pro Max","El producto llego en su tiempo estimado, muy puntual y paso todas las pruebas de uso y se encuentra en perfectas condiciones, eso me alegra mucho con la motivación de volverlos a visitar y quizá para el iPhone 13 Pro. Recomiendo este vendedor y desde Lima -PERU!!!","es"
"Apple","iPhone 11 Pro Max","ESTA MUY CARO PARA LAS CONDICIONES GENERALES DE IPHONE. MUY PELADO EN LOS BORDES.","es"
"Apple","iPhone 11 Pro Max","No trajo los accesorios originales ni la caja original, pero su cargador y cable alterno funcionan muy bien","es"
"Apple","iPhone 11 Pro Max","El celular esta en excelentes condiciones, la vida del celular se encuentra en 89%. Estéticamente se encuentra muy bien, no he encontrado desperfectos y me ha dejado muy satisfecho. Eso sí, tener en cuenta que no llega en caja original ni con accesorios originales, de igual forma, pra mi fue una buena compra","es"
"Apple","iPhone 11 Pro Max","El teléfono tiene grandes señas de desgaste en la pantalla, se nota que se rayó una parte en exceso al pasar el dedo, tiene picada la parte superior y raspado uno de los bordes del lente, el vidrio trasero tiene como manchas, realmente no lo recomiendo ya que estéticamente está como un 6/10 en cuanto a la batería probablemente en 6 meses toque cambiarla porque venía con el 83%","es"
"Apple","iPhone 11 Pro Max","El equipo llegó muy bien, con 89% de batería, todo lo demás en excelente estado, enviaron cargador y cable genérico, no enviaron cargador rápido como viene de fábrica.","es"
"Apple","iPhone 11 Pro Max","La verdad que el producto principal está en excelente estado, pero muy precarios los accesorios. De mala calidad","es"
"Apple","iPhone 11 Pro Max","hice una compra del iphone renovado y lo cambie porque tenia 90% de bateria con vida util, y opte por comprar el iphone renovado premium, pensando que tendria mucha mas vida util de bateria y llego con una pila de vida util del 91%, es verdad que en la descripcion dice mas de 90% pero 1% no es nada para la diferencia del monto.
en temas de estetica el iphone esta impecable, pero en temas de bateria me esperaba mucho mas, ya que es lo que mas importa en un celular","es"
"Apple","iPhone 11 Pro Max","Una decepción","es"
"Apple","iPhone 11 Pro Max","Muy contenta con el iphone que me llego, parece totalmente nuevo , el estado de la batería es 100 % , todo a funcionado de maravilla. Me encanto que venia ya con el vidrio templado para proteger la pantalla 👍","es"
"Apple","iPhone 11 Pro Max","El teléfono se ve muy bien tanto estéticamente cómo funcional pero los accesorios y la caja en qué se me envió son un desastre, aunque esto lo cambia que el teléfono funciona 10 puntos.","es"
"Apple","iPhone 11 Pro Max","Esta muy bien funciona al máximo","es"
"Apple","iPhone 11 Pro Max","La batería me vino al 86% sin embargo el teléfono está en muy buen estado. Viene con un vidrio templado ya puesto y trae cable y cargador certificado. Son el normal, no tipo C. No vino son rayones ni nada, excelente","es"
"Apple","iPhone 11 Pro Max","Producto en excelente estado. Leve falla en el parlante cuando tipeas mientras estás en una llamada.","es"
"Apple","iPhone 11 Pro Max","En 15 dias lo recibi en Argentina. Funciona perfecto, no tiene ninguna marca o problema. Bateria 99%.","es"
"Apple","iPhone 11 Pro Max","Buen producto!","es"
"Apple","iPhone 11 Pro Max","Todo muy bien!","es"
"Apple","iPhone 11 Pro Max","Fue un regalo de navidad","es"
"Apple","iPhone 11 Pro Max","Funciona bien me gusto","es"
"Apple","iPhone 11 Pro Max","Llegó nítido y nuevo sin ningún tipo de problema, recomendado…","es"
"Apple","iPhone 11 Pro Max","Excelente condiciones","es"
"Apple","iPhone 11 Pro Max","Todo de acuerdo a lo ofrecido","es"
"Apple","iPhone 11 Pro Max","La batería llego como lo prevé el anuncio en un 82% (había comprado otros con este mismo Provedor en 95%) en general funciona muy bien, sin detalles estéticos, pantalla impecable, en general bien","es"
"Apple","iPhone 11 Pro Max","Llego en perfecto estado y funcionando excelente la bateria 80% fue lo unico por mejorar","es"
"Apple","iPhone 11 Pro Max","Cumplió con la entrega, y con el articulo publicado","es"
"Apple","iPhone 11 Pro Max","Súper la calidad, el estado, la batería un poco baja","es"
"Apple","iPhone 11 Pro Max","Muy buen teléfono","es"
"Apple","iPhone 11 Pro Max","El equipo llegó más rápido de lo esperado y parecía nuevo, impecable. La batería está en muy buen estado y tiene excelente duración.","es"
"Apple","iPhone 11 Pro Max","Utilizado en ecuador . Excelente producto","es"
"Apple","iPhone 11 Pro Max","Excelente el celular pero el cargador que trae no es de iPhone 11 Pro Max, es un cargador genérico","es"
"Apple","iPhone 11 Pro Max","Siento una decepción TOTAL! Compre este celular REACONDICIONADO o REFURBISHED y desde que lo prendi funciona todo muy bien , luce muy bien pero...solo se escucha si hablas por altavoz!! es decir me vino DAÑADO...ni siquiera ha pasado por la elemental prueba de calidad...no puedo creerlo, NO LO HE PODIDO USAR Y YA ESTA DAÑADO! Vivo en Ecuador , lo traje por un courier , es toda una odisea enviarlo de regreso y ademas los costos de transporte que debo seguir pagando...FATAL! Estuve preguntando y me dicen que estos Iphone vienencon ese defecto ...Entonces?' Como los venden asi ?","es"
"Apple","iPhone 11 Pro Max","Excelente empacado y muy buena estética del teléfono","es"
"Apple","iPhone 11 Pro Max","El teléfono parece como de fábrica, incluyen garantías y lo entregan con cargador y con vidrio templado, muy recomendable","es"
"Apple","iPhone 11 Pro Max","Llego con bordes golpeados, esperaba algo más nuevo","es"
"Apple","iPhone 11 Pro Max","Excelente llego como estaba en la descripción.","es"
"Apple","iPhone 11 Pro Max","Está tan perfecto! Me encanta todo está muy bien","es"
"Apple","iPhone 11 Pro Max","Excelente producto y excelente vendedor, es el tercer teléfono que le compro y sin ningún problema","es"
"Apple","iPhone 11 Pro Max","me llego con 97% la batería y sin un rasguño","es"
"Apple","iPhone 11 Pro Max","El teléfono perfecto todo le trabaja muy bien","es"
"Apple","iPhone 11 Pro Max","Mucha calidad ,, el teléfono estaba impecable ,, la vida de la batería estaba al 100%, no tenia ningún rasguño,, recomendable","es"
"Apple","iPhone 11 Pro Max","Muy bueno me llego con protector de pantalla,Lo que hizo falta fue el audífono.Totalmente desbloqueado.Me funcionó con meteo pcs","es"
"Apple","iPhone 11 Pro Max","Muy buenos originales los teléfonos solo que los cargadores no son los originales","es"
"Apple","iPhone 11 Pro Max","Teléfono llegó en perfecto estado A+ sin detalles. Recomendado 👌🏻","es"
"Apple","iPhone 11 Pro Max","Muy buen producto","es"
"Apple","iPhone 11 Pro Max","Biene en buenas condiciones","es"
"Apple","iPhone 11 Pro Max","Buenas condiciones generales el teléfono","es"
"Apple","iPhone 11 Pro Max","Muy buen iphone llego como nuevo la pila en excelente estado recomendable","es"
"Apple","iPhone 11 Pro Max","Muy buen artículo. En perfectas condiciones el estado.","es"
"Apple","iPhone 11 Pro Max","Muy rápida la entrega ! Funciona en paraguay y estaba levemente rayado","es"
"Apple","iPhone 11 Pro Max","Excelente!!!!","es"
"Apple","iPhone 11 Pro Max","Condición muy buena del equipo","es"
"Apple","iPhone 11 Pro Max","Excelente 100% recomendado y funciona bien en venezuela, cero detalles","es"
"Apple","iPhone 11 Pro Max","El cell llego como lo describen!! Es bello y como nuevo","es"
"Apple","iPhone 11 Pro Max","Muy bueno, llegó intacto con 93% de batería","es"
"Apple","iPhone 11 Pro Max","Cuesta mucho dinero y no trae las funciones que yo necesito mejor regrese a los galaxy son mejores","es"
"Apple","iPhone 11 Pro Max","Todo perfecto","es"
"Apple","iPhone 11 Pro Max","Todo servicio bien","es"
"Apple","iPhone 11 Pro Max","Muy bien y rápido","es"
"Apple","iPhone 11 Pro Max","Bueno está muy bien","es"
"Apple","iPhone 11 Pro Max","Me encantó mil gracias","es"
"Apple","iPhone 11 Pro Max","Trabajo","es"
"Apple","iPhone 11 Pro Max","Muy bien conservado, además incluye cargador y cable certificados. Una buena compra.","es"
"Apple","iPhone 11 Pro Max","En buen estado .","es"
"Apple","iPhone 11 Pro Max","Funciona perfectamente y esta desbloqueado lo recibi en Venezuela . Compra confiable.","es"
"Apple","iPhone 11 Pro Max","La pantalla no es original, muestra colores opacos y amarillentos además de estar rayada , trae una mica instalada pero al retirarla es increíble la cantidad de rayaduras profundas que tiene, no vale la pena por el precio que se paga.","es"
"Apple","iPhone 11 Pro Max","Excelente condiciones","es"
"Apple","iPhone 11 Pro Max","La verdad funciona al 100%","es"
"Apple","iPhone 11 Pro Max","Muy bonito","es"
"Apple","iPhone 11 Pro Max","Excelente inversión...","es"
"Apple","iPhone 11 Pro Max","Excelentes producto","es"
"Apple","iPhone 11 Pro Max","Excelente teléfono","es"
"Apple","iPhone 11 Pro Max","Todo bien lo único malo fue enviado por FedEx y abrieron emboltura","es"
"Apple","iPhone 11 Pro Max","El teléfono ya lo tengo. Lo que me llego fue sin los accesorios. Por favor para que me ayuden con eso","es"
"Apple","iPhone 11 Pro Max","Muy buen equipo, detalles mínimos de uso, casi nuevo y batería al 100%","es"
"Apple","iPhone 11 Pro Max","El celular tiene un rayon en la pantalla! Del resto bien","es"
"Apple","iPhone 11 Pro Max","Exelente producto","es"
"Apple","iPhone 11 Pro Max","Excelente condición,nuevo y funciona bien.","es"
"Apple","iPhone 11 Pro Max","Muy buen producto","es"
"Apple","iPhone 11 Pro Max","Este producto esta al 100% de funcionalidad","es"
"Apple","iPhone 11 Pro Max","Muy lindo, al abrirlo era nuevo prácticamente funciona para Paraguay","es"
"Apple","iPhone 11 Pro Max","volveria a comprar y recomendaria a mis amigos","es"
"Apple","iPhone 11 Pro Max","Funciona como lo describen","es"
"Apple","iPhone 11 Pro Max","Excelente estado, sin golpes ni arañado, parece nuevo.","es"
"Apple","iPhone 11 Pro Max","Recibo El telefono bloqueado, no obstante dice la description fully unlocked.. luego contacto Al vendedor.. no contesta, hasta que lo hago via Amazon. Acordamos devolver y reemplazar. Pues no fue asi. Ordenaron devolucion total del dinero. Muy mala experiencia. no le compro mas a ese vendedor. Tiempo perdido esperando mi reemplazo que no Llego.","es"
"Apple","iPhone 11 Pro Max","Me gusto mucho fue una buena compra","es"
"Apple","iPhone 11 Pro Max","El celular tenias muchos rayones notorios en la pantalla, se q es usado pero no me pareció confiable después de ver esas imperfecciones tan notorias.","es"
"Apple","iPhone 11 Pro Max","El producto no es 100% desbloqueado","es"
"Apple","iPhone 11 Pro Max","El telefono llego fisicamente bien, la bateria en 98% pero la 1 estrella es por que me vino con el earspeaker dañado, se escucha increiblemente mal, no entiendo como una compañia tan grande como ustedes no se percatan del estado real del dispositivo, yo pague $100 dolares para reritarlo del currier ya que vivo fuera de estados unidos, ahora tengo que pagar otros $100 dolares mas para enviarselos, estoy demasiado decepcionado de ustedes, tremendo dolor de cabeza que me acaban de dar","es"
"Apple","iPhone 11 Pro Max","Definitivamente no me gusto el l celular lo abrí apenas hoy 3 de julio 2021 mi esposa lo recibió lamentablemente yo no esperaba que x 800 dólares me mandarían un celular con Yam pésimas condiciones batería al 89 y el celular con muchas marcas de rayones definitivamente no me lo quedaré","es"
"Apple","iPhone 11 Pro Max","Como nuevo","es"
"Apple","iPhone 11 Pro Max","Golpes en los bordes del celular","es"
"Apple","iPhone 11 Pro Max","Me agrado","es"
"Apple","iPhone 11 Pro Max","El estado del teléfono está deplorable, está rayada la pantalla del teléfono, quiero devolverlo","es"
"Apple","iPhone 11 Pro Max","No me agrado, la vida útil de la batería es 80%","es"
"Apple","iPhone 11 Pro Max","MI TELEFONO NO LO HE PUDIDO USAR, PUESTO QUE ESTA REPORTADO COMO RPOBADO Y EL IMEI ESTA BLQUEADO","es"
"Apple","iPhone 11 Pro Max","Producto demaciado rayado, la capacidad de la batería al 86% y en la pantalla hay una línea verde... Pésima compra, realizaré el reembolso del producto para devolverlo","es"
"Apple","iPhone 11 Pro Max","no me agrado el hecho de que no avisen que tenia arañones en la pantalla y en la camara trasera.","es"
"Apple","iPhone 11 Pro Max","No me me gusta fue un teléfono robado y no está bueno el artículo","es"
"Apple","iPhone 11 Pro Max","Es una basura no sirve la pantalla ni la carga dura mucho","es"
"Apple","iPhone 11 Pro Max","es falsa la pantalla y te dice que hay error a cada momento","es"
"Apple","iPhone 11 Pro Max","Todo estuvo perfecto, el cargador dejo de funcionar de la nada","es"
"Apple","iPhone 11 Pro Max","El celular estaba muy rayado de la pantalla!! Quiero mi devolución 😭","es"
"Apple","iPhone 11 Pro Max","Celular dañado que no se enciende, pésimo servicio, deseo la devolución del dinero","es"
"Apple","iPhone 11 Pro Max","Excelente teléfono 📱 me encanto y su funcionamiento es excelente, me llego con batería 🔋 95% Así qué hay teléfono para un rato.","es"
"Apple","iPhone 11 Pro Max","Uno de los dos iphone no enciende. Se queda en la manzana y no se puede reiniciar ni apagar y volver a encender.b","es"
"Apple","iPhone 11 Pro Max","Malo salió este aparato","es"
"Apple","iPhone 11 Pro Max","Vine con rotura y una capacidad deteriorada de la batería","es"
"Apple","iPhone 11 Pro Max","Es un robo 🥺no sirve","es"
"Apple","iPhone 11 Pro Max","Producto muy golpeado y rayado malisimoooo","es"
"Apple","iPhone 11 Pro Max","La vida de batería esta en el 80% un poco mas de tiempo y recibiré el mensaje de que la batería tiene problemas. Y que necesita mantenimiento. Pensando devolverlo, no vale la pena.","es"
"Apple","iPhone 11 Pro Max","The media could not be loaded.
 Muy buen dispositivo, todo en excelente condiciones","es"
"Apple","iPhone 11 Pro Max"," Muy buen dispositivo, todo en excelente condiciones","es"
"Apple","iPhone 11 Pro Max","$570 por esto!, estoy realmente sorprendido, es un buen teléfono y me parece su punto más fuerte el 94% de vida útil de la batería, llego el mismo día que lo pedí gracias a Prime, su caja traía un cargador genérico y un protector de pantalla de vidrio, algo normal en los teléfonos de segunda mano es los rayones, este venía con dos rayones bastante grandes en la pantalla, (No interfieren con la visión de la pantalla y no se perciben a una distancia considerable), cuando puse el protector de pantalla desaparecieron por completo así que es un buen punto, un case y todo esta perfecto, espero siga así estos meses, todo parece bien, la tarjeta sim la tomo sin problemas y tomo solo unos minutos en llevar la información de mi viejo Iphone a este. Es un buen celular, mucha suerte, espero que compres uno y el vendedor te envíe uno bueno!","es"
"Apple","iPhone 11 Pro Max","La vida útil de la batería estaba a 97% el reconocimiento facial funciona perfectamente soy de panama y reconoció mi chip (SIM CARD )perfectamente","es"
"Apple","iPhone 11 Pro Max","Me agradó el reconocimiento facial, No me agradó después de los primeros días ya no me reconoce, estoy ingresando con un PIN.","es"
"Apple","iPhone 11 Pro Max","Recibí el producto sin detalles estéticos, como recién salido de fábrica, estoy muy satisfecho, los recomiendo!","es"
"Apple","iPhone 11 Pro Max","Funciona muy bienEs el segundo que compro porque salen buenos","es"
"Apple","iPhone 11 Pro Max","Perfecto, ningún problema 👌","es"
"Apple","iPhone 11 Pro Max","Excelente producto. Llego en óptimas condiciones la batería al 100% y sin rastros de ser utilizado.","es"
"Apple","iPhone 11 Pro Max","Muy buena calidad del empaque, producto en excelentes condiciones y funciona a la perfeccion","es"
"Apple","iPhone 11 Pro Max","Llegó en buen estado y llego a tiempo","es"
"Apple","iPhone 11 Pro Max","Impresionante muy buen producto en excelente calidad","es"
"Apple","iPhone 11 Pro Max","tu pusiste que la vaterria estava a 80 por ciento pero no es verda esta 56 por ciento donde yo lleve el telefono dise que solo tiene 56 por ciento donde le canviaro la terjeta de la compania ellos la reemplansan por una nueva por $115 dolares si ustedes me dan $50 dollares yo boy apagar lo demas me quedo con el telefono gracias","es"
"Apple","iPhone 11 Pro Max","Muy bueno!!!","es"
"Apple","iPhone 11 Pro Max","Muy buen artículo lo recomiendo","es"
"Apple","iPhone 11 Pro Max","Batería al 94%, sin razguños que se perciben, muy buen producto","es"
"Apple","iPhone 11 Pro Max","excelente el telefono","es"
"Apple","iPhone 11 Pro Max","El producto es muy bueno y me ha sido muy útil porque era lo que realmente estaba buscando.","es"
"Apple","iPhone 11 Pro Max","parecia totalmente nuevo el producto gracias","es"
"Apple","iPhone 11 Pro Max","El producto es muy malooooo!!! La pantalla estaba dañada tenía un protector para que no me diera cuenta luego lo quité y lo vi . Después que pasaron los 30 días y nadie se hace responsables","es"
"Apple","iPhone 11 Pro Max","Vino con un plástico protector, y en muy buenas condiciones para ya estar abierto de la caja original, si vino con cargador.","es"
"Apple","iPhone 11 Pro Max","Me llego en excelente estado y con una bateria al 97%.","es"
"Apple","iPhone 11 Pro Max","El teléfono tardó una semana en llegar, un día antes del previsto, la verdad llegó de muy muy buena calidad, hasta ahorita que llevo 2 horas usándolo funciona perfectamente, lo uso con red Telcel y agarró perfectamente la señal, de igual manera estéticamente se ve casi en perfecto estado, solo un pequeño golpe en una esquina pero lo único, en la pantalla todo perfecto, sin ningún detalle y era mi mayor miedo porque vi muchos comentarios donde estaba rayada y este llegó todo perfecto, bocinas, Face ID, llamadas, cámaras, todo en perfecto estado, como si fuera todo nuevo. El único detalle es que llegó con 84% de batería, yo creo que un poco más y ya todo hubiese sido perfecto para mi, llegó en una carga custom y el cargador y el cable no son originales, para que tengan en cuenta eso. Por el precio me parece una compra excelente y yo si recomiendo ampliamente comprarlo.","es"
"Apple","iPhone 11 Pro Max","Muy buen Producto, me llego en buenas condiciones y llevo un mes y no me a causado fallas!!","es"
"Apple","iPhone 11 Pro Max","Me parece una excelente compra por el costo y el modelo del telefono, aun cuando ya tiene sus añitos funciona muy bien y aun le quedan otros años de actualización.El unico detalle que yo le encontré, es que le cambiaron la pantalla, no es la original de Apple, aun así es una buena pantalla, también es oled, pero si la comparas con otro iphone con pantalla original si se ve la diferencia, pero es algo que realmente en el dia dia ni se nota, funciona muy bien.Estéticamente llegó bien sin detalles y con pila al 89%","es"
"Apple","iPhone 11 Pro Max","Parese nuevo","es"
"Apple","iPhone 11 Pro Max","Llego en buenas condiciones la batería no llego perfecta, el aspecto es bueno, únicamente el sonido para las bocinas si está dañado, pero todo bien","es"
"Apple","iPhone 11 Pro Max","Llego bien empaquetado con un cargador genérico y el celular, es lo único, de primera vista solo tenía un rayadura en la pantalla pero con una mica de cristal se arreglo, no se ve nada, de batería llego al 87%, lo uso casi todo el día y al final de mi día laboral con un uso cotidiano; llego con el 50-40% de bateríaTengo el de 512 GB, a lo mejor tuve suerte pero fue una buena compra","es"
"Apple","iPhone 11 Pro Max","Estética casi de nuevo, sólo tiene unos muy ligeros rayones en la pantalla que con una mica de cristal ya no se perciben. Marcos y parte posterior como nuevo. Supuestamente vienen con más del 90% en condición de batería y me llegó con el 88%, incluso en un checklist que te envían, así dice. Le doy una calificación de 9.","es"
"Apple","iPhone 11 Pro Max","compre este articulo hace ya año y medio masomenos sigue en buen estado, excelente la camara, lo unico que he tenido problemas es que no se escucha cuando me llaman y tampoco vibra cuando me llaman pero todo lo demás todo esta excelente.cuando me llego venia con dos marcas de chupones al frente dando a entender que ya lo habían abierto, así que nuevo nuevo pues no es.lo revise y si decía que ya había sido abierto.pero bueno de todo lo demás estoy muy contenta con el telefono.","es"
"Apple","iPhone 11 Pro Max","Este equipo lo adquiri con el vendedor Buyspri, todo esta perfecto tiene estética de 10/10, condición de batería 84%, en mi caso un detalle seria que al equipo se le hizo un cambio de pantalla pero fue realizado por apple & trae todas sus funciones al 100%","es"
"Apple","iPhone 11 Pro Max","La mejor compra que he hecho en Amazon, el equipo pasa perfectamente por uno nuevo, está en excelentes condiciones estéticas, vida de batería al 91% y llegó antes de lo esperado. Sin duda volvería a comprar, estoy muy satisfecho","es"
"Apple","iPhone 11 Pro Max","He aprendido a no dudar de la calidad de los productos reacondicionados. No me ha fallado para nada este celular y llegó con buen porcentaje de batería. Cuando puedas, aprovecha.","es"
"Apple","iPhone 11 Pro Max","Trae todo sus accesorios, exelente condicion,muy bien empacado","es"
"Apple","iPhone 11 Pro Max","me llegó en buenas condiciones y si es original","es"
"Apple","iPhone 11 Pro Max","Estaba en excelente condición","es"
"Apple","iPhone 11 Pro Max","Todo bien, estética de 9.5/10, le doy esta calificación por el echo de que yo esperaba mejor volumen en el altavoz, también yo esperaba mejor condición en la batería, me llego con un 84% que no está tan mal pero si muy pronto tendré que cambiarle la batería al dispositivo, que ahí si ya le sumaría otro gasto, fuera de eso todo salió bien, me agrado que llegara pronto hasta antes de lo esperado, que llegara con garantía también y todo bien empacado, solo por el detalle de la batería y del altavoz le doy 4 estrellas, le daría 4.5 pero Amazon no me permite poner .5, también esperaba un cable original pero el genérico está bien y también esperaba que llegara con un cubo de 20w pero llego con un cubo bueno y me agrado la compra, recomiendo al vendedor al 100","es"
"Apple","iPhone 11 Pro Max","En estética parece nuevo, no tiene ningún rayón ni golpe ni nada, la pantalla trae una mica protectora que no le quise retirar. Funcionalidad al 100 sin ningún detalle. Es que prácticamente parece nuevo en verdad, el único detalle que podría tener es que la pila tiene una condición del 85% pero hasta ahora no me ha resultado en un problema, ha aguantado perfectamente todo el día. Excelente compra hasta ahora.","es"
"Apple","iPhone 11 Pro Max","Como nuevo. Todo fantástico.","es"
"Apple","iPhone 11 Pro Max","Funcionalmente bien, aunque encontré detalles en las condiciones físicas del iphone como unos rayoncitos alrededor de las cámaras, y en los botones. A primera vista sí se nota que tuvo un buen tiempo de uso, pero no hay una falla o golpe mayor que sean muy notables","es"
